785	854	787	817	16	11	16	9	9	6	12	14	27	21	28	27	47	48	52	37
847	854	794	849	19	14	10	8	11	2	12	0	14	17	22	14	53	47	39	34
913	936	933	925	11	4	14	12	3	3	1	5	23	14	18	20	44	54	41	39
944	933	958	930	9	8	24	6	1	5	1	14	21	23	15	17	31	39	24	36
961	931	859	841	6	9	10	7	1	4	9	7	4	9	40	22	40	35	32	28
931	944	857	847	11	13	5	9	0	1	7	11	4	7	21	31	41	30	36	29
954	941	893	956	8	12	35	9	2	2	6	8	4	17	33	7	45	29	35	23
920	909	912	902	11	7	13	11	5	14	8	12	13	26	21	28	48	44	44	44
945	909	930	931	5	5	3	0	0	13	2	5	12	26	17	24	41	45	37	35
925	903	901	911	5	15	14	14	8	6	6	9	17	22	21	25	40	48	43	34
930	937	888	873	12	5	13	15	2	8	7	8	8	5	25	32	37	48	41	42
987	965	933	957	0	11	6	1	0	0	2	7	0	2	37	17	29	37	22	22
976	974	906	916	0	4	25	4	2	2	10	21	1	2	40	19	41	40	28	47
864	883	856	887	7	15	12	9	6	3	7	7	27	22	24	21	51	42	55	47
881	889	741	774	8	5	16	10	2	3	4	12	7	7	51	47	49	44	52	52
881	866	867	848	13	6	10	14	5	7	2	5	15	26	20	30	51	51	47	52
904	869	818	883	3	11	15	6	6	9	15	9	14	27	32	27	49	49	53	46
888	869	879	890	1	9	12	10	12	13	14	9	24	28	28	27	45	50	51	43
874	865	859	891	2	10	10	9	8	13	18	9	23	33	33	25	51	47	57	48
882	877	871	877	7	9	15	8	8	4	6	4	27	22	27	26	48	55	52	50
869	880	879	872	9	9	12	8	4	5	1	7	29	25	27	28	51	54	49	52
890	890	890	894	10	3	8	3	3	4	2	3	24	21	20	24	51	51	48	41
860	863	877	871	10	5	16	5	7	3	7	9	29	26	28	27	50	53	53	47
871	860	859	862	7	7	8	10	2	4	5	9	26	25	27	30	51	53	49	45
880	868	905	878	15	19	12	7	4	11	0	5	27	30	23	22	55	52	46	51
913	883	843	885	3	6	13	12	4	8	10	9	9	26	35	27	50	49	48	48
860	855	850	870	6	11	10	7	11	4	11	17	30	28	27	31	48	47	51	46
879	877	886	896	5	12	8	3	15	7	8	16	29	31	28	27	47	46	50	47
879	878	894	874	12	8	23	19	4	7	2	11	28	24	22	30	50	49	48	52
931	905	872	882	4	7	18	7	1	5	5	7	13	21	27	30	48	52	51	49
899	896	885	901	2	3	12	6	5	3	8	10	27	22	28	28	52	54	54	48
931	922	828	817	4	1	13	5	0	2	8	6	3	3	38	26	52	50	52	50
943	936	815	814	3	4	10	13	2	1	6	11	3	2	42	32	53	53	54	49
928	949	826	808	5	7	11	10	0	3	0	17	4	5	51	55	53	51	53	55
907	919	817	783	3	7	20	17	3	6	0	11	3	6	25	47	54	51	39	52
837	854	877	844	16	25	16	11	3	3	0	5	30	27	22	24	51	50	42	51
814	846	823	814	9	15	11	4	9	1	0	7	26	19	20	25	56	45	46	39
889	900	796	788	3	1	12	12	8	5	1	10	9	5	28	40	46	51	45	46
801	803	829	803	9	8	14	7	11	5	7	9	32	25	31	22	52	51	42	45
851	886	794	813	7	4	12	2	14	4	7	9	13	5	23	15	48	49	47	37
872	880	862	861	7	5	15	9	10	11	10	9	27	24	22	28	58	44	50	52
865	863	872	883	11	6	17	8	8	9	10	8	30	28	31	26	45	55	43	43
857	867	862	883	14	6	16	5	11	11	12	11	30	30	32	26	51	42	46	43
