913	1024	835	912	8	0	9	5	8	0	21	12	10	0	24	26	43	0	60	9
927	1024	803	905	4	0	10	6	1	0	3	8	4	0	23	29	43	0	45	8
962	1024	935	942	5	0	23	5	0	0	0	5	2	0	22	23	44	0	36	6
985	1024	943	952	6	0	23	4	0	0	1	10	2	0	21	24	26	0	16	8
947	1024	915	968	4	0	25	0	2	0	2	3	4	0	23	24	36	0	36	2
924	1024	916	965	5	0	27	1	4	0	2	10	6	0	24	24	50	0	34	3
964	1024	893	936	5	0	5	1	0	0	4	10	2	0	22	25	43	0	34	7
986	1024	917	958	0	0	9	0	0	0	9	8	0	0	22	26	30	0	40	4
948	1024	897	931	6	0	9	2	2	0	8	13	3	0	26	28	40	0	55	8
978	1024	913	959	1	0	6	3	0	0	9	5	1	0	20	24	33	0	45	4
981	1024	922	955	4	0	18	0	0	0	5	6	2	0	22	26	32	0	38	3
967	1024	911	959	6	0	15	0	0	0	0	2	2	0	25	22	46	0	31	1
981	1024	969	989	1	0	1	0	1	0	1	5	1	0	18	17	34	0	14	2
937	1024	845	914	4	0	7	5	2	0	5	8	3	0	26	28	51	0	51	8
933	1024	858	913	11	0	11	2	0	0	4	4	4	0	24	28	53	0	54	4
942	1024	858	908	5	0	11	4	1	0	4	2	3	0	27	27	51	0	47	4
939	1024	901	951	2	0	9	1	2	0	6	6	3	0	26	27	51	0	53	4
962	1024	900	947	3	0	7	5	0	0	12	4	2	0	25	28	53	0	57	6
948	1024	884	939	3	0	6	0	4	0	9	2	3	0	29	28	52	0	54	3
937	1024	856	919	6	0	14	8	1	0	2	13	6	0	26	34	44	0	45	12
950	1024	875	921	6	0	9	1	0	0	4	11	3	0	25	26	50	0	50	8
954	1024	880	923	7	0	15	5	1	0	5	16	3	0	27	29	50	0	52	13
932	1024	879	938	2	0	18	2	4	0	10	6	4	0	24	28	53	0	52	4
960	1024	902	946	5	0	12	3	0	0	3	0	2	0	25	27	52	0	49	2
956	1024	909	955	9	0	15	0	0	0	3	3	3	0	26	27	53	0	54	2
954	1024	895	943	4	0	8	4	0	0	8	2	2	0	26	28	52	0	53	4
961	1024	903	943	3	0	11	4	2	0	6	1	2	0	27	29	54	0	44	4
951	1024	891	948	1	0	12	2	6	0	7	4	3	0	28	28	51	0	54	3
960	1024	902	946	5	0	12	3	0	0	3	0	2	0	25	27	52	0	49	2
950	1024	875	921	6	0	9	1	0	0	4	11	3	0	25	26	50	0	50	8
961	1024	898	953	3	0	7	0	0	0	8	6	1	0	25	28	53	0	52	4
919	1024	860	931	5	0	8	4	2	0	3	7	5	0	27	27	48	0	56	7
948	1024	888	929	9	0	6	0	1	0	6	4	4	0	22	28	52	0	58	3
935	1024	849	931	4	0	5	1	0	0	8	2	3	0	28	27	53	0	54	3
950	1024	914	953	8	0	14	7	0	0	0	0	3	0	24	26	52	0	39	3
945	1024	880	928	0	0	13	5	1	0	0	4	1	0	26	28	50	0	43	5
952	1024	871	920	2	0	11	5	2	0	4	8	2	0	25	32	46	0	44	9
921	1024	876	925	3	0	16	2	0	0	2	0	2	0	25	25	53	0	34	3
955	1024	856	911	3	0	11	3	0	0	6	6	1	0	26	26	52	0	48	7
961	1024	886	928	4	0	14	4	0	0	1	2	3	0	27	27	49	0	46	5
944	1024	909	956	8	0	6	3	2	0	14	5	5	0	23	29	51	0	44	4
971	1024	915	951	2	0	9	8	0	0	4	1	0	0	23	28	44	0	44	6
960	1024	905	943	2	0	15	5	0	0	4	7	2	0	26	28	53	0	50	7
