50	146	127	118	0	11	4	34	1	14	31	5	0	12	24	23	1	23	33	27
56	153	134	141	2	7	4	47	0	25	37	4	3	14	26	28	2	26	37	37
19	17	44	52	9	10	36	56	13	16	44	7	8	8	27	30	9	16	37	21
84	4	70	69	2	1	8	34	11	2	24	5	6	1	19	26	19	5	33	18
52	72	72	26	4	18	3	24	11	17	31	6	8	15	19	17	13	21	31	11
0	67	95	93	0	1	11	49	0	31	50	14	0	17	32	28	0	22	30	37
28	46	64	98	0	2	26	49	2	16	30	5	1	8	24	23	2	14	32	22
23	4	0	43	17	1	0	42	11	0	0	10	13	0	0	29	21	0	0	22
107	55	88	94	3	2	3	28	4	4	32	9	5	2	19	24	14	8	31	20
10	1	0	41	6	0	0	39	6	0	0	16	6	0	0	30	12	0	0	26
51	58	57	95	0	2	6	25	2	20	26	6	1	10	20	25	2	13	22	15
29	38	35	49	2	1	15	45	0	20	28	3	3	10	19	28	3	18	30	20
19	27	43	30	2	2	23	34	9	20	34	20	4	11	24	27	5	13	29	20
8	19	14	13	2	6	8	19	1	14	5	14	0	7	9	11	1	16	8	12
4	14	0	13	4	5	0	20	1	10	0	10	2	5	0	11	4	9	0	10
12	0	10	0	8	0	5	0	6	0	6	0	9	0	6	0	10	0	8	0
3	0	0	4	3	0	0	4	1	0	0	3	0	0	0	4	2	0	0	5
43	20	40	73	6	6	12	63	10	4	40	3	7	2	22	27	24	7	29	38
59	22	41	74	10	12	8	58	11	0	35	3	10	2	20	24	37	4	28	32
38	3	13	43	29	2	27	56	13	4	23	13	15	2	25	27	26	4	24	21
22	16	5	52	9	9	15	68	5	11	14	11	6	9	15	28	10	16	14	36
15	6	32	26	12	3	36	30	11	4	27	22	9	3	29	24	11	8	37	20
9	4	10	9	9	9	19	12	7	10	18	12	6	9	19	10	7	9	17	12
29	15	40	44	7	7	20	37	9	12	28	13	6	8	23	21	9	13	34	26
34	0	41	27	12	0	33	23	15	0	31	8	8	0	25	20	28	0	37	11
13	15	52	27	6	20	33	30	2	17	30	21	6	17	31	23	5	21	37	23
4	27	66	28	5	16	29	21	4	20	46	25	4	16	40	27	5	19	40	24
73	0	54	64	7	0	6	34	15	0	26	5	11	0	17	26	26	0	28	19
