258	249	148	129	18	9	34	6	10	21	8	19	27	43	28	22	41	22	41	18
248	167	145	119	15	2	30	3	6	10	1	35	30	36	27	34	32	9	42	20
122	88	68	53	8	4	13	3	4	12	2	9	50	44	27	26	31	9	47	7
119	63	125	62	9	4	30	1	9	6	11	27	27	26	42	36	46	5	42	16
114	26	78	57	3	5	27	2	8	10	4	9	32	18	30	30	25	8	31	5
145	13	135	49	12	2	39	1	11	3	3	13	26	8	40	27	30	2	20	8
119	45	129	84	6	4	33	5	15	3	3	17	37	22	35	43	26	4	21	12
38	9	45	13	20	5	32	15	23	6	26	20	32	5	35	20	31	5	40	17
58	35	63	43	13	7	27	15	14	13	24	29	31	26	36	42	26	9	46	21
165	135	130	92	5	3	10	4	8	12	11	19	22	29	25	36	44	11	48	13
162	95	91	49	13	3	10	4	2	11	5	9	24	37	25	22	32	9	46	8
128	67	74	26	16	5	24	1	4	15	1	18	29	40	19	12	37	11	34	10
105	49	113	107	17	4	25	5	17	5	6	36	23	16	27	46	46	5	39	22
26	0	8	0	8	0	11	0	8	0	9	0	10	0	10	0	32	0	13	0
41	0	7	0	11	0	15	0	14	0	11	0	19	0	12	0	27	0	11	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
98	66	134	98	15	3	13	1	6	20	16	27	29	21	44	44	43	13	54	15
103	122	166	89	5	2	17	1	6	24	14	22	25	38	51	35	37	15	55	14
68	18	52	18	27	11	25	4	17	15	13	13	31	24	39	16	35	13	43	8
63	35	48	22	12	5	13	4	5	6	11	6	28	23	30	24	47	7	52	5
6	0	0	0	5	0	0	0	6	0	0	0	4	0	0	0	6	0	0	0
1	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0
72	21	63	9	14	20	29	1	19	23	2	3	41	32	26	9	46	22	32	2
88	21	51	7	33	14	23	8	31	18	12	8	44	20	18	10	56	18	35	11
43	41	108	50	11	15	39	14	17	7	9	28	22	22	37	44	31	11	39	19
71	30	131	40	10	6	17	2	20	5	7	14	22	17	43	28	44	5	34	8
90	25	106	59	18	3	21	6	4	5	9	15	28	9	35	31	34	5	37	12
