159	98	174	97	10	16	25	17	12	12	24	25	62	44	37	26	11	15	40	38
149	109	137	109	12	6	24	21	4	10	20	20	54	40	41	27	8	10	38	36
74	96	54	81	5	12	18	18	8	13	17	26	45	51	22	35	6	12	24	42
92	54	57	48	8	12	17	9	12	16	9	29	46	36	17	23	11	15	33	30
81	54	68	56	7	8	17	17	11	16	16	17	44	37	23	22	10	10	34	32
97	106	77	150	6	2	16	13	8	26	11	25	20	42	24	52	7	15	18	24
76	32	90	106	4	9	25	13	8	10	16	33	24	15	24	40	7	8	27	30
40	28	10	39	15	12	14	24	12	15	8	37	25	34	10	37	13	14	12	26
33	44	13	55	13	8	13	35	11	14	5	48	35	39	10	46	12	11	15	39
143	134	95	68	10	10	20	6	7	22	9	30	40	51	26	24	10	18	30	28
126	76	103	75	12	10	20	15	12	8	15	25	44	32	32	30	13	10	33	23
109	89	42	36	7	11	11	4	21	15	5	19	45	32	13	14	15	13	26	23
95	103	72	48	11	15	12	1	4	14	17	26	45	48	24	17	8	15	31	27
25	20	36	17	9	5	14	18	6	11	5	18	17	12	9	18	8	7	16	23
8	10	22	16	3	7	15	13	3	10	12	14	3	7	15	12	3	7	21	23
21	0	4	0	11	0	8	0	6	0	6	0	9	0	6	0	22	0	10	0
0	0	4	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	2	0
146	58	82	137	15	8	17	24	6	20	15	30	53	33	20	47	12	15	32	39
82	38	80	103	12	3	21	35	6	16	17	28	46	21	26	50	9	10	34	38
61	56	45	17	9	15	31	20	15	17	28	23	48	44	36	20	12	25	35	23
52	20	37	31	14	4	43	38	13	7	32	38	34	21	33	35	27	5	46	36
6	1	0	0	15	3	0	0	15	3	0	0	16	3	0	0	15	3	0	0
1	0	15	2	3	0	16	5	3	0	22	5	3	0	21	6	3	0	17	5
7	14	14	40	16	13	20	38	12	18	22	44	13	14	22	40	13	16	19	42
9	0	43	32	6	0	34	39	6	0	35	38	10	0	41	43	6	0	32	39
62	17	54	30	22	13	28	22	17	15	12	24	34	24	33	20	32	14	28	28
38	14	30	19	24	14	19	10	24	17	9	14	37	22	19	12	26	15	19	14
102	74	87	148	7	7	17	17	10	8	13	32	46	24	16	41	9	10	28	32
