114	185	0	132	6	10	0	8	3	4	0	17	30	17	0	15	8	44	0	48
100	191	0	91	15	3	0	14	7	7	0	16	29	24	0	18	16	42	0	72
26	46	0	14	8	15	0	24	6	13	0	18	29	28	0	24	7	35	0	32
69	109	0	63	6	10	0	5	8	6	0	10	29	22	0	9	7	42	0	45
64	97	0	44	3	9	0	4	6	6	0	13	28	25	0	10	5	31	0	30
111	0	188	112	14	0	17	8	7	0	26	20	9	0	30	28	44	0	70	15
97	0	221	118	11	0	14	4	7	0	4	10	7	0	27	29	50	0	49	9
24	0	52	46	23	0	18	10	17	0	5	3	21	0	32	30	37	0	34	7
62	0	89	82	7	0	27	4	0	0	2	7	2	0	24	25	45	0	39	6
39	0	80	72	10	0	27	3	1	0	0	11	4	0	25	26	32	0	19	6
201	90	141	145	9	4	28	3	6	11	1	21	24	23	22	30	42	10	42	15
168	99	169	110	18	5	21	1	9	7	2	19	32	31	21	29	43	8	43	13
42	27	57	45	9	3	8	5	6	7	0	5	30	23	19	26	34	6	42	5
79	0	73	61	11	0	21	5	10	0	2	3	21	0	25	29	43	0	31	4
133	83	86	89	5	6	23	4	16	9	0	11	25	23	24	29	34	7	32	11
53	193	266	191	3	14	28	7	6	1	9	34	12	15	46	65	5	42	39	23
124	196	232	69	9	17	27	1	8	6	13	19	26	16	31	26	10	35	49	13
64	49	62	37	9	16	30	3	8	13	11	6	33	33	39	29	9	39	38	6
85	74	86	50	5	25	25	2	7	15	9	9	33	30	36	30	8	24	34	5
79	49	83	49	8	20	23	10	7	19	13	5	27	21	41	28	8	25	23	7
169	159	174	197	5	10	16	4	17	1	12	25	23	13	37	35	46	53	43	42
222	167	177	194	18	29	10	7	9	0	3	22	29	22	28	32	41	43	47	39
67	57	55	92	14	19	8	9	8	2	5	13	24	20	32	32	48	24	31	34
82	41	103	64	7	12	9	2	0	5	17	20	11	6	23	26	31	18	35	12
87	65	58	44	8	15	12	7	7	4	12	12	22	22	20	14	41	40	41	48
239	170	236	207	14	5	22	11	1	1	8	17	6	1	34	36	42	46	55	39
177	170	230	175	18	13	11	16	7	2	11	13	11	4	39	43	48	45	41	48
87	47	66	70	5	7	27	8	0	5	4	18	15	8	27	25	36	56	39	45
111	88	91	99	12	4	16	13	5	0	2	8	18	12	22	24	48	52	44	39
80	91	66	94	8	13	33	6	6	13	0	17	19	24	21	19	31	47	34	40
50	146	127	118	0	11	4	34	1	14	31	5	0	12	24	23	1	23	33	27
56	153	134	141	2	7	4	47	0	25	37	4	3	14	26	28	2	26	37	37
19	17	44	52	9	10	36	56	13	16	44	7	8	8	27	30	9	16	37	21
84	4	70	69	2	1	8	34	11	2	24	5	6	1	19	26	19	5	33	18
52	72	72	26	4	18	3	24	11	17	31	6	8	15	19	17	13	21	31	11
245	135	182	102	12	36	24	11	21	12	3	49	25	30	30	29	47	40	47	32
194	178	192	107	3	26	29	16	23	6	4	50	23	28	31	33	30	40	44	35
70	59	80	71	1	36	48	4	31	13	1	27	25	35	31	34	24	33	33	33
141	64	99	83	5	36	39	0	34	1	1	32	27	17	27	22	31	24	31	26
96	61	89	74	11	25	38	0	22	0	2	30	21	19	26	23	31	20	34	26
86	191	162	133	5	4	6	38	7	25	36	10	17	27	28	30	9	27	32	27
106	158	180	182	15	6	3	47	14	27	32	9	26	22	30	30	23	33	24	37
87	82	41	47	11	31	5	46	26	8	30	3	34	31	17	19	30	25	29	34
32	77	77	69	5	11	3	36	6	17	43	6	12	19	28	27	7	28	26	22
10	90	67	56	4	10	7	45	0	19	44	9	3	22	27	22	4	34	26	36
148	136	132	155	6	5	6	25	12	17	23	19	39	32	26	39	11	18	16	27
102	103	145	127	16	9	6	29	19	10	25	15	35	24	33	33	18	15	16	26
62	72	39	44	8	20	16	48	10	22	43	4	39	48	25	19	9	24	29	37
51	40	71	59	16	13	4	28	6	8	36	8	25	13	23	30	11	19	23	19
30	58	70	58	7	15	5	22	1	17	34	12	13	28	26	32	6	23	20	18
139	236	22	99	7	18	10	6	5	2	5	12	15	16	12	16	8	40	10	56
147	196	51	209	7	21	9	14	5	0	8	18	27	11	28	35	7	41	11	50
82	102	0	27	3	17	0	16	12	12	0	7	37	41	0	10	8	49	0	36
66	113	22	57	4	8	4	6	7	14	7	20	28	31	13	13	6	38	6	45
56	88	0	49	3	17	0	5	7	13	0	33	28	27	0	19	6	29	0	29
258	249	148	129	18	9	34	6	10	21	8	19	27	43	28	22	41	22	41	18
248	167	145	119	15	2	30	3	6	10	1	35	30	36	27	34	32	9	42	20
122	88	68	53	8	4	13	3	4	12	2	9	50	44	27	26	31	9	47	7
119	63	125	62	9	4	30	1	9	6	11	27	27	26	42	36	46	5	42	16
114	26	78	57	3	5	27	2	8	10	4	9	32	18	30	30	25	8	31	5
135	154	221	171	13	5	26	2	4	11	2	19	25	30	39	34	16	20	28	40
121	94	210	153	12	9	38	5	1	17	6	27	24	25	42	42	18	20	34	39
66	65	76	69	10	9	6	4	10	12	15	16	25	24	31	33	37	39	36	25
86	51	86	58	21	2	37	1	19	17	31	24	35	17	41	31	23	28	43	14
82	66	74	69	31	4	36	6	10	9	10	26	37	25	36	37	29	25	26	38
159	98	174	97	10	16	25	17	12	12	24	25	62	44	37	26	11	15	40	38
149	109	137	109	12	6	24	21	4	10	20	20	54	40	41	27	8	10	38	36
74	96	54	81	5	12	18	18	8	13	17	26	45	51	22	35	6	12	24	42
92	54	57	48	8	12	17	9	12	16	9	29	46	36	17	23	11	15	33	30
81	54	68	56	7	8	17	17	11	16	16	17	44	37	23	22	10	10	34	32

























