148	136	132	155	6	5	6	25	12	17	23	19	39	32	26	39	11	18	16	27
102	103	145	127	16	9	6	29	19	10	25	15	35	24	33	33	18	15	16	26
62	72	39	44	8	20	16	48	10	22	43	4	39	48	25	19	9	24	29	37
51	40	71	59	16	13	4	28	6	8	36	8	25	13	23	30	11	19	23	19
30	58	70	58	7	15	5	22	1	17	34	12	13	28	26	32	6	23	20	18
111	45	60	88	9	3	3	45	15	11	31	3	42	11	24	26	15	13	18	27
85	38	70	80	6	2	9	43	9	13	25	5	32	19	25	26	7	9	20	21
51	14	5	26	29	19	9	27	22	18	6	32	43	18	8	32	23	22	9	32
19	5	5	17	13	8	7	18	12	7	3	17	25	7	5	23	13	9	5	17
71	75	89	81	6	2	6	28	1	12	25	12	13	27	21	26	5	9	17	18
88	92	97	111	6	4	4	30	0	6	30	18	9	24	22	26	5	6	19	25
81	41	68	48	7	3	10	5	4	11	30	7	34	6	23	21	8	16	23	6
51	66	65	51	7	6	10	10	2	18	38	4	21	21	29	27	6	17	24	7
8	14	0	7	6	7	0	11	5	15	0	10	11	13	0	8	6	10	0	8
9	14	0	16	8	2	0	20	6	8	0	15	9	6	0	16	9	6	0	27
0	4	2	4	0	4	3	1	0	3	3	3	0	4	4	2	0	5	3	3
2	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	3	0	0	0
59	53	40	48	15	2	15	24	4	29	36	3	40	27	27	28	11	17	20	13
96	55	64	65	18	4	11	20	14	24	38	7	52	22	31	31	17	23	24	16
29	51	22	53	4	15	22	49	2	32	29	33	25	43	29	37	3	20	23	40
44	51	28	51	10	16	21	49	13	40	26	22	36	38	27	33	12	29	22	26
5	0	5	1	6	0	5	3	4	0	6	3	4	0	5	3	6	0	6	3
1	3	2	2	3	5	4	1	3	5	5	3	3	4	4	2	3	4	4	2
5	14	32	19	6	4	19	21	6	6	18	16	9	5	23	21	6	10	18	19
5	39	35	44	4	16	8	36	3	19	22	29	6	26	24	30	4	18	13	29
33	52	42	27	21	27	3	23	23	32	12	25	38	40	22	34	22	33	8	22
52	49	12	51	14	26	4	24	23	22	3	44	41	37	6	44	21	29	3	36
89	42	46	50	12	2	11	19	9	20	28	6	44	14	19	26	12	15	22	12
