135	154	221	171	13	5	26	2	4	11	2	19	25	30	39	34	16	20	28	40
121	94	210	153	12	9	38	5	1	17	6	27	24	25	42	42	18	20	34	39
66	65	76	69	10	9	6	4	10	12	15	16	25	24	31	33	37	39	36	25
86	51	86	58	21	2	37	1	19	17	31	24	35	17	41	31	23	28	43	14
82	66	74	69	31	4	36	6	10	9	10	26	37	25	36	37	29	25	26	38
141	70	120	122	11	12	28	18	26	3	4	17	33	10	31	31	47	38	31	44
101	93	90	94	2	11	28	10	8	10	6	16	26	26	38	34	41	41	24	40
44	30	51	15	7	14	48	17	10	18	36	20	25	26	46	24	12	23	32	18
32	26	45	29	23	25	12	19	16	21	17	26	26	30	30	34	22	37	17	25
152	123	90	132	21	2	11	4	7	13	10	31	30	26	24	39	33	39	14	33
113	86	94	95	20	2	11	2	6	15	19	25	26	20	34	35	30	31	25	18
96	67	55	58	6	9	6	4	10	9	13	14	26	16	30	28	46	32	18	14
106	58	67	65	6	8	9	10	9	7	12	16	31	23	24	35	30	22	26	21
8	4	33	11	4	3	10	1	3	3	13	3	4	4	26	11	9	5	11	2
36	26	15	1	14	10	14	3	10	9	12	3	22	23	18	3	21	24	16	3
10	0	11	0	6	0	4	0	4	0	5	0	4	0	4	0	9	0	17	0
0	4	0	0	0	4	0	0	0	3	0	0	0	4	0	0	0	5	0	0
91	75	111	93	16	6	14	7	5	24	14	15	31	18	31	30	29	43	52	46
111	98	111	106	21	5	20	5	8	13	17	17	30	18	36	31	46	45	44	46
55	59	44	31	29	7	21	7	25	3	25	10	42	23	34	24	36	53	33	28
78	37	46	27	39	9	34	18	20	8	25	20	34	10	40	29	54	52	41	30
10	8	5	0	14	13	7	0	12	12	7	0	13	14	7	0	20	14	8	0
4	2	3	5	6	1	8	5	6	3	9	5	5	2	8	5	9	2	8	7
8	11	20	15	14	7	22	7	12	6	20	10	15	6	25	8	14	22	20	18
0	2	15	19	0	1	23	7	0	0	20	9	0	0	24	9	0	1	26	35
78	50	58	55	14	14	25	28	22	11	17	22	26	18	29	26	41	33	35	47
73	40	33	35	17	25	23	20	17	27	22	17	27	24	25	20	39	41	25	38
97	79	108	85	10	3	11	11	2	5	12	15	28	24	31	35	29	31	35	27
